"modelname","modeltype","lppd"
"allmonuments","power_law",-2.89546127397753
"allmonuments","power_law",-2.35372231188254
"allmonuments","power_law",-2.59339868345707
"allmonuments","power_law",-2.42213917432995
"allmonuments","power_law",-2.32862837550895
"allmonuments","power_law",-2.25708389253508
"allmonuments","power_law",-1.87011731809373
"allmonuments","power_law",-2.07532388055821
"allmonuments","power_law",-2.03055992674797
"allmonuments","power_law",-2.7143238933396
"allmonuments","power_law",-2.68851133808959
"allmonuments","power_law",-2.40515499764296
"allmonuments","power_law",-2.04953995394451
"allmonuments","power_law",-2.88098058573046
"allmonuments","power_law",-4.23866784287999
"allmonuments","power_law",-3.26549429139161
"allmonuments","power_law",-2.58215474880148
"allmonuments","power_law",-2.34752881661925
"allmonuments","power_law",-2.38688301615759
"allmonuments","power_law",-2.58650118376374
"allmonuments","power_law",-2.58679250370503
"allmonuments","power_law",-2.33798792806959
"allmonuments","power_law",-4.00045972699483
"allmonuments","power_law",-2.9989981541004
"allmonuments","power_law",-2.99990669250184
"allmonuments","power_law",-3.21660719112588
"allmonuments","power_law",-2.6710594799572
"allmonuments","power_law",-2.84223519174102
"allmonuments","power_law",-3.69083511528812
"allmonuments","power_law",-2.50920189768015
"allmonuments","power_law",-2.04501153740401
"allmonuments","power_law",-2.6139470616875
"allmonuments","power_law",-3.36113109867024
"allmonuments","power_law",-3.43859003887851
"allmonuments","power_law",-2.6145547365033
"allmonuments","power_law",-4.22271856555793
"allmonuments","power_law",-2.93122632017826
"allmonuments","power_law",-2.7376645122096
"allmonuments","power_law",-3.30470490787044
"allmonuments","power_law",-3.38967329244126
"allmonuments","power_law",-2.06878260903733
"allmonuments","power_law",-3.02535378893009
"allmonuments","power_law",-2.50902473023863
"allmonuments","power_law",-2.95842165358997
"allmonuments","power_law",-2.74409180098758
"allmonuments","power_law",-4.40384247855087
"allmonuments","power_law",-2.6665061902026
"allmonuments","power_law",-2.81600878350873
"allmonuments","power_law",-2.70678364838343
"allmonuments","power_law",-2.62867630660366
"allmonuments","power_law",-2.68689529024889
"allmonuments","power_law",-2.35534123304812
"allmonuments","power_law",-2.62327692033305
"allmonuments","power_law",-4.25847778730178
"allmonuments","power_law",-3.44893676347825
"allmonuments","power_law",-2.79041210292139
"allmonuments","power_law",-2.5214481171139
"allmonuments","power_law",-2.76008260925842
"allmonuments","power_law",-2.92737209919387
"allmonuments","power_law",-2.24586073241862
"allmonuments","power_law",-2.42154956913842
"allmonuments","power_law",-2.31353179732182
"allmonuments","power_law",-3.29443322732059
"allmonuments","power_law",-1.71287934735068
"allmonuments","power_law",-2.25756996025376
"allmonuments","power_law",-2.46591896388216
"allmonuments","power_law",-2.72869642921673
"allmonuments","power_law",-3.35538875108596
"allmonuments","power_law",-2.3736142260637
"allmonuments","power_law",-2.99778029450153
"allmonuments","power_law",-2.58512599686312
"allmonuments","power_law",-2.21587193721556
"allmonuments","power_law",-3.20283420225319
"allmonuments","power_law",-2.40472747435703
"allmonuments","power_law",-2.81598739496363
"allmonuments","power_law",-2.62969372931796
"allmonuments","power_law",-6.09469919891623
"allmonuments","power_law",-3.33427412158351
"allmonuments","power_law",-2.25815174407423
"allmonuments","power_law",-2.04463233320951
"allmonuments","power_law",-2.18500729891918
"allmonuments","power_law",-2.19958575165713
"allmonuments","power_law",-2.05660769229381
"allmonuments","power_law",-2.87532567615554
"allmonuments","power_law",-4.78029183819229
"allmonuments","power_law",-2.27066664929123
"allmonuments","power_law",-2.22231582361822
"allmonuments","power_law",-2.50449490865846
"allmonuments","power_law",-2.35627452365335
"allmonuments","power_law",-2.11874187209795
"allmonuments","power_law",-2.85385131408413
"allmonuments","power_law",-2.86850980316201
"allmonuments","power_law",-2.08781415170573
"allmonuments","power_law",-3.8326417952484
"allmonuments","power_law",-2.06956826177449
"allmonuments","power_law",-4.04666975504659
"allmonuments","power_law",-2.9663720995452
"allmonuments","power_law",-2.02918129666696
"allmonuments","power_law",-2.25599202270466
"allmonuments","power_law",-2.36809262318937
"allmonuments","power_law",-2.20616771066098
"allmonuments","power_law",-3.09533882474766
"allmonuments","power_law",-2.48762760089166
"allmonuments","power_law",-2.80911628215528
"allmonuments","power_law",-2.23306903613596
"allmonuments","power_law",-2.3324106857248
"allmonuments","power_law",-2.38161386100318
"allmonuments","power_law",-2.36843142880765
"allmonuments","power_law",-2.71217591662356
"allmonuments","power_law",-3.08378768345624
"allmonuments","power_law",-2.56614487055853
"allmonuments","power_law",-2.46781518644849
"allmonuments","power_law",-2.04005600475208
"allmonuments","power_law",-2.59613834774955
"allmonuments","power_law",-2.50005996931355
"allmonuments","power_law",-2.18890526689426
"allmonuments","power_law",-2.16352588727082
"allmonuments","power_law",-2.84601898886452
"allmonuments","power_law",-3.23440182535448
"allmonuments","power_law",-2.87063788901622
"allmonuments","power_law",-2.07877905113199
"allmonuments","power_law",-2.41125376147993
"allmonuments","power_law",-2.34490590317101
"allmonuments","power_law",-3.11545307992205
"allmonuments","power_law",-3.6068014660371
"allmonuments","power_law",-2.38903665353697
"allmonuments","power_law",-3.06661925760204
"allmonuments","power_law",-2.57998129785466
"allmonuments","power_law",-2.77670063448059
"allmonuments","power_law",-2.76197166162833
"allmonuments","power_law",-3.70389586117975
"allmonuments","power_law",-2.41690777170439
"allmonuments","power_law",-2.39928970290041
