"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Bulgaria","2020","Total","Both Sexes","Ruse","City proper","Estimate - de jure","Final figure, complete","2020","141231",""
"Bulgaria","2020","Total","Both Sexes","SOFIA","City proper","Estimate - de jure","Final figure, complete","2020","1242568",""
"Bulgaria","2020","Total","Both Sexes","Stara Zagora","City proper","Estimate - de jure","Final figure, complete","2020","134726",""
"Bulgaria","2020","Total","Both Sexes","Varna","City proper","Estimate - de jure","Final figure, complete","2020","336216",""
"Canada","2020","Total","Both Sexes","Abbotsford","City proper","Estimate - de jure","Final figure, complete","2021","161581","4,5"
"Canada","2020","Total","Both Sexes","Abbotsford-Mission","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","204265","4,5"
"Canada","2020","Total","Both Sexes","Ajax","City proper","Estimate - de jure","Final figure, complete","2021","132251","4,5"
"Canada","2020","Total","Both Sexes","Barrie","City proper","Estimate - de jure","Final figure, complete","2021","153411","4,5"
"Canada","2020","Total","Both Sexes","Barrie","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","218188","4,5"
"Canada","2020","Total","Both Sexes","Belleville","City proper","Estimate - de jure","Final figure, complete","2021","56117","4,5"
"Canada","2020","Total","Both Sexes","Belleville","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","112980","4,5"
"Canada","2020","Total","Both Sexes","Brampton","City proper","Estimate - de jure","Final figure, complete","2021","713463","4,5"
"Canada","2020","Total","Both Sexes","Brantford","City proper","Estimate - de jure","Final figure, complete","2021","106998","4,5"
"Canada","2020","Total","Both Sexes","Brantford","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","151566","4,5"
"Canada","2020","Total","Both Sexes","Burlington","City proper","Estimate - de jure","Final figure, complete","2021","193668","4,5"
"Canada","2020","Total","Both Sexes","Burnaby","City proper","Estimate - de jure","Final figure, complete","2021","257926","4,5"
"Canada","2020","Total","Both Sexes","Calgary","City proper","Estimate - de jure","Final figure, complete","2021","1361852","4,5"
"Canada","2020","Total","Both Sexes","Calgary","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","1543283","4,5"
"Canada","2020","Total","Both Sexes","Cambridge","City proper","Estimate - de jure","Final figure, complete","2021","141809","4,5"
"Canada","2020","Total","Both Sexes","Cape Breton","City proper","Estimate - de jure","Final figure, complete","2021","95901","4,5"
"Canada","2020","Total","Both Sexes","Cape Breton","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","100711","4,5"
"Canada","2020","Total","Both Sexes","Chatham-Kent","City proper","Estimate - de jure","Final figure, complete","2021","106216","4,5"
"Canada","2020","Total","Both Sexes","Chatham-Kent","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","106620","4,5"
"Canada","2020","Total","Both Sexes","Chilliwack","City proper","Estimate - de jure","Final figure, complete","2021","95178","4,5"
"Canada","2020","Total","Both Sexes","Chilliwack","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","116626","4,5"
"Canada","2020","Total","Both Sexes","Coquitlam","City proper","Estimate - de jure","Final figure, complete","2021","152734","4,5"
"Canada","2020","Total","Both Sexes","Delta","City proper","Estimate - de jure","Final figure, complete","2021","111281","4,5"
"Canada","2020","Total","Both Sexes","Edmonton","City proper","Estimate - de jure","Final figure, complete","2021","1047003","4,5"
"Canada","2020","Total","Both Sexes","Edmonton","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","1468926","4,5"
"Canada","2020","Total","Both Sexes","Gatineau","City proper","Estimate - de jure","Final figure, complete","2021","290239","4,5"
"Canada","2020","Total","Both Sexes","Greater Sudbury / Grand Sudbury","City proper","Estimate - de jure","Final figure, complete","2021","168927","4,5"
"Canada","2020","Total","Both Sexes","Greater Sudbury / Grand Sudbury","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","172462","4,5"
"Canada","2020","Total","Both Sexes","Guelph","City proper","Estimate - de jure","Final figure, complete","2021","145379","4,5"
"Canada","2020","Total","Both Sexes","Guelph","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","167509","4,5"
"Canada","2020","Total","Both Sexes","Halifax","City proper","Estimate - de jure","Final figure, complete","2021","448231","4,5"
"Canada","2020","Total","Both Sexes","Halifax","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","448544","4,5"
"Canada","2020","Total","Both Sexes","Hamilton","City proper","Estimate - de jure","Final figure, complete","2021","581722","4,5"
"Canada","2020","Total","Both Sexes","Hamilton","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","804691","4,5"
